end,id,start
PT380H,0_19,PT379H
PT381H,0_20,PT380H
PT382H,0_21,PT381H
PT383H,0_22,PT382H
PT384H,0_23,PT383H
PT385H,0_0,PT384H
PT386H,0_1,PT385H
PT387H,0_2,PT386H
PT388H,0_3,PT387H
PT389H,0_4,PT388H
PT390H,0_5,PT389H
PT391H,0_6,PT390H
PT392H,0_7,PT391H
PT393H,0_8,PT392H
PT394H,0_9,PT393H
PT395H,0_10,PT394H
PT396H,0_11,PT395H
PT397H,0_12,PT396H
PT398H,0_13,PT397H
PT399H,0_14,PT398H
PT400H,0_15,PT399H
PT401H,0_16,PT400H
PT402H,0_17,PT401H
PT403H,0_18,PT402H
PT404H,0_19,PT403H
PT405H,0_20,PT404H
PT406H,0_21,PT405H
PT407H,0_22,PT406H
PT408H,0_23,PT407H
PT409H,0_0,PT408H
PT410H,0_1,PT409H
PT411H,0_2,PT410H
PT412H,0_3,PT411H
PT413H,0_4,PT412H
PT414H,0_5,PT413H
PT415H,0_6,PT414H
PT416H,0_7,PT415H
PT417H,0_8,PT416H
PT418H,0_9,PT417H
PT419H,0_10,PT418H
PT420H,0_11,PT419H
PT421H,0_12,PT420H
PT422H,0_13,PT421H
PT423H,0_14,PT422H
PT424H,0_15,PT423H
PT425H,0_16,PT424H
PT426H,0_17,PT425H
PT427H,0_18,PT426H
PT428H,0_19,PT427H
PT429H,0_20,PT428H
PT430H,0_21,PT429H
PT431H,0_22,PT430H
PT432H,0_23,PT431H
PT433H,0_0,PT432H
PT434H,0_1,PT433H
PT435H,0_2,PT434H
PT436H,0_3,PT435H
PT437H,0_4,PT436H
PT438H,0_5,PT437H
PT439H,0_6,PT438H
PT440H,0_7,PT439H
PT441H,0_8,PT440H
PT442H,0_9,PT441H
PT443H,0_10,PT442H
PT444H,0_11,PT443H
PT445H,0_12,PT444H
PT446H,0_13,PT445H
PT447H,0_14,PT446H
PT448H,0_15,PT447H
PT449H,0_16,PT448H
PT450H,0_17,PT449H
PT451H,0_18,PT450H
PT452H,0_19,PT451H
PT453H,0_20,PT452H
PT454H,0_21,PT453H
PT455H,0_22,PT454H
PT456H,0_23,PT455H
PT457H,0_0,PT456H
PT458H,0_1,PT457H
PT459H,0_2,PT458H
PT460H,0_3,PT459H
PT461H,0_4,PT460H
PT462H,0_5,PT461H
PT463H,0_6,PT462H
PT464H,0_7,PT463H
PT465H,0_8,PT464H
PT466H,0_9,PT465H
PT467H,0_10,PT466H
PT468H,0_11,PT467H
PT469H,0_12,PT468H
PT470H,0_13,PT469H
PT471H,0_14,PT470H
PT472H,0_15,PT471H
PT473H,0_16,PT472H
PT474H,0_17,PT473H
PT475H,0_18,PT474H
PT476H,0_19,PT475H
PT477H,0_20,PT476H
PT478H,0_21,PT477H
PT479H,0_22,PT478H
PT480H,0_23,PT479H
PT481H,0_0,PT480H
PT482H,0_1,PT481H
PT483H,0_2,PT482H
PT484H,0_3,PT483H
PT485H,0_4,PT484H
PT486H,0_5,PT485H
PT487H,0_6,PT486H
PT488H,0_7,PT487H
PT489H,0_8,PT488H
PT490H,0_9,PT489H
PT491H,0_10,PT490H
PT492H,0_11,PT491H
PT493H,0_12,PT492H
PT494H,0_13,PT493H
PT495H,0_14,PT494H
PT496H,0_15,PT495H
PT497H,0_16,PT496H
PT498H,0_17,PT497H
PT499H,0_18,PT498H
PT500H,0_19,PT499H
PT501H,0_20,PT500H
PT502H,0_21,PT501H
PT503H,0_22,PT502H
PT504H,0_23,PT503H
PT505H,0_0,PT504H
PT506H,0_1,PT505H
PT507H,0_2,PT506H
PT508H,0_3,PT507H
PT509H,0_4,PT508H
PT510H,0_5,PT509H
PT511H,0_6,PT510H
PT512H,0_7,PT511H
PT513H,0_8,PT512H
PT514H,0_9,PT513H
PT515H,0_10,PT514H
PT516H,0_11,PT515H
PT517H,0_12,PT516H
PT518H,0_13,PT517H
PT519H,0_14,PT518H
PT520H,0_15,PT519H
PT521H,0_16,PT520H
PT522H,0_17,PT521H
PT523H,0_18,PT522H
PT524H,0_19,PT523H
PT525H,0_20,PT524H
PT526H,0_21,PT525H
PT527H,0_22,PT526H
PT528H,0_23,PT527H
PT529H,0_0,PT528H
PT530H,0_1,PT529H
PT531H,0_2,PT530H
PT532H,0_3,PT531H
PT533H,0_4,PT532H
PT534H,0_5,PT533H
PT535H,0_6,PT534H
PT536H,0_7,PT535H
PT537H,0_8,PT536H
PT538H,0_9,PT537H
PT539H,0_10,PT538H
PT540H,0_11,PT539H
PT541H,0_12,PT540H
PT542H,0_13,PT541H
PT543H,0_14,PT542H
PT544H,0_15,PT543H
PT545H,0_16,PT544H
PT546H,0_17,PT545H
PT547H,0_18,PT546H
PT548H,0_19,PT547H
PT549H,0_20,PT548H
PT550H,0_21,PT549H
PT551H,0_22,PT550H
PT552H,0_23,PT551H
PT553H,0_0,PT552H
PT554H,0_1,PT553H
PT555H,0_2,PT554H
PT556H,0_3,PT555H
PT557H,0_4,PT556H
PT558H,0_5,PT557H
PT559H,0_6,PT558H
PT560H,0_7,PT559H
PT561H,0_8,PT560H
PT562H,0_9,PT561H
PT563H,0_10,PT562H
PT564H,0_11,PT563H
PT565H,0_12,PT564H
PT566H,0_13,PT565H
PT567H,0_14,PT566H
PT568H,0_15,PT567H
PT569H,0_16,PT568H
PT570H,0_17,PT569H
PT571H,0_18,PT570H
PT572H,0_19,PT571H
PT573H,0_20,PT572H
PT574H,0_21,PT573H
PT575H,0_22,PT574H
PT576H,0_23,PT575H
PT577H,0_0,PT576H
PT578H,0_1,PT577H
PT579H,0_2,PT578H
PT580H,0_3,PT579H
PT581H,0_4,PT580H
PT582H,0_5,PT581H
PT583H,0_6,PT582H
PT584H,0_7,PT583H
PT585H,0_8,PT584H
PT586H,0_9,PT585H
PT587H,0_10,PT586H
PT588H,0_11,PT587H
PT589H,0_12,PT588H
PT590H,0_13,PT589H
PT591H,0_14,PT590H
PT592H,0_15,PT591H
PT593H,0_16,PT592H
PT594H,0_17,PT593H
PT595H,0_18,PT594H
PT596H,0_19,PT595H
PT597H,0_20,PT596H
PT598H,0_21,PT597H
PT599H,0_22,PT598H
PT600H,0_23,PT599H
PT601H,0_0,PT600H
PT602H,0_1,PT601H
PT603H,0_2,PT602H
PT604H,0_3,PT603H
PT605H,0_4,PT604H
PT606H,0_5,PT605H
PT607H,0_6,PT606H
PT608H,0_7,PT607H
PT609H,0_8,PT608H
PT610H,0_9,PT609H
PT611H,0_10,PT610H
PT612H,0_11,PT611H
PT613H,0_12,PT612H
PT614H,0_13,PT613H
PT615H,0_14,PT614H
PT616H,0_15,PT615H
PT617H,0_16,PT616H
PT618H,0_17,PT617H
PT619H,0_18,PT618H
PT620H,0_19,PT619H
PT621H,0_20,PT620H
PT622H,0_21,PT621H
PT623H,0_22,PT622H
PT624H,0_23,PT623H
PT625H,0_0,PT624H
PT626H,0_1,PT625H
PT627H,0_2,PT626H
PT628H,0_3,PT627H
PT629H,0_4,PT628H
PT630H,0_5,PT629H
PT631H,0_6,PT630H
PT632H,0_7,PT631H
PT633H,0_8,PT632H
PT634H,0_9,PT633H
PT635H,0_10,PT634H
PT636H,0_11,PT635H
PT637H,0_12,PT636H
PT638H,0_13,PT637H
PT639H,0_14,PT638H
PT640H,0_15,PT639H
PT641H,0_16,PT640H
PT642H,0_17,PT641H
PT643H,0_18,PT642H
PT644H,0_19,PT643H
PT645H,0_20,PT644H
PT646H,0_21,PT645H
PT647H,0_22,PT646H
PT648H,0_23,PT647H
PT649H,0_0,PT648H
PT650H,0_1,PT649H
PT651H,0_2,PT650H
PT652H,0_3,PT651H
PT653H,0_4,PT652H
PT654H,0_5,PT653H
PT655H,0_6,PT654H
PT656H,0_7,PT655H
PT657H,0_8,PT656H
PT658H,0_9,PT657H
PT659H,0_10,PT658H
PT660H,0_11,PT659H
PT661H,0_12,PT660H
PT662H,0_13,PT661H
PT663H,0_14,PT662H
PT664H,0_15,PT663H
PT665H,0_16,PT664H
PT666H,0_17,PT665H
PT667H,0_18,PT666H
PT668H,0_19,PT667H
PT669H,0_20,PT668H
PT670H,0_21,PT669H
PT671H,0_22,PT670H
PT672H,0_23,PT671H
PT673H,0_0,PT672H
PT674H,0_1,PT673H
PT675H,0_2,PT674H
PT676H,0_3,PT675H
PT677H,0_4,PT676H
PT678H,0_5,PT677H
PT679H,0_6,PT678H
PT680H,0_7,PT679H
PT681H,0_8,PT680H
PT682H,0_9,PT681H
PT683H,0_10,PT682H
PT684H,0_11,PT683H
PT685H,0_12,PT684H
PT686H,0_13,PT685H
PT687H,0_14,PT686H
PT688H,0_15,PT687H
PT689H,0_16,PT688H
PT690H,0_17,PT689H
PT691H,0_18,PT690H
PT692H,0_19,PT691H
PT693H,0_20,PT692H
PT694H,0_21,PT693H
PT695H,0_22,PT694H
PT696H,0_23,PT695H
PT697H,0_0,PT696H
PT698H,0_1,PT697H
PT699H,0_2,PT698H
PT700H,0_3,PT699H
PT701H,0_4,PT700H
PT702H,0_5,PT701H
PT703H,0_6,PT702H
PT704H,0_7,PT703H
PT705H,0_8,PT704H
PT706H,0_9,PT705H
PT707H,0_10,PT706H
PT708H,0_11,PT707H
PT709H,0_12,PT708H
PT710H,0_13,PT709H
PT711H,0_14,PT710H
PT712H,0_15,PT711H
PT713H,0_16,PT712H
PT714H,0_17,PT713H
PT715H,0_18,PT714H
PT716H,0_19,PT715H
PT717H,0_20,PT716H
PT718H,0_21,PT717H
PT719H,0_22,PT718H
PT720H,0_23,PT719H
PT721H,0_0,PT720H
PT722H,0_1,PT721H
PT723H,0_2,PT722H
PT724H,0_3,PT723H
PT725H,0_4,PT724H
PT726H,0_5,PT725H
PT727H,0_6,PT726H
PT728H,0_7,PT727H
PT729H,0_8,PT728H
PT730H,0_9,PT729H
PT731H,0_10,PT730H
PT732H,0_11,PT731H
PT733H,0_12,PT732H
PT734H,0_13,PT733H
PT735H,0_14,PT734H
PT736H,0_15,PT735H
PT737H,0_16,PT736H
PT738H,0_17,PT737H
PT739H,0_18,PT738H
PT740H,0_19,PT739H
PT741H,0_20,PT740H
PT742H,0_21,PT741H
PT743H,0_22,PT742H
PT744H,0_23,PT743H
PT745H,0_0,PT744H
PT746H,0_1,PT745H
PT747H,0_2,PT746H
PT748H,0_3,PT747H
PT749H,0_4,PT748H
PT750H,0_5,PT749H
PT751H,0_6,PT750H
PT752H,0_7,PT751H
PT753H,0_8,PT752H
PT754H,0_9,PT753H
PT755H,0_10,PT754H
PT756H,0_11,PT755H
PT757H,0_12,PT756H
PT758H,0_13,PT757H
PT759H,0_14,PT758H
PT760H,0_15,PT759H
PT761H,0_16,PT760H
PT762H,0_17,PT761H
PT763H,0_18,PT762H
PT764H,0_19,PT763H
PT765H,0_20,PT764H
PT766H,0_21,PT765H
PT767H,0_22,PT766H
PT768H,0_23,PT767H
PT769H,0_0,PT768H
PT770H,0_1,PT769H
PT771H,0_2,PT770H
PT772H,0_3,PT771H
PT773H,0_4,PT772H
PT774H,0_5,PT773H
PT775H,0_6,PT774H
PT776H,0_7,PT775H
PT777H,0_8,PT776H
PT778H,0_9,PT777H
PT779H,0_10,PT778H
PT780H,0_11,PT779H
PT781H,0_12,PT780H
PT782H,0_13,PT781H
PT783H,0_14,PT782H
PT784H,0_15,PT783H
PT785H,0_16,PT784H
PT786H,0_17,PT785H
PT787H,0_18,PT786H
PT788H,0_19,PT787H
PT789H,0_20,PT788H
PT790H,0_21,PT789H
PT791H,0_22,PT790H
PT792H,0_23,PT791H
PT793H,0_0,PT792H
PT794H,0_1,PT793H
PT795H,0_2,PT794H
PT796H,0_3,PT795H
PT797H,0_4,PT796H
PT798H,0_5,PT797H
PT799H,0_6,PT798H
PT800H,0_7,PT799H
PT801H,0_8,PT800H
PT802H,0_9,PT801H
PT803H,0_10,PT802H
PT804H,0_11,PT803H
PT805H,0_12,PT804H
PT806H,0_13,PT805H
PT807H,0_14,PT806H
PT808H,0_15,PT807H
PT809H,0_16,PT808H
PT810H,0_17,PT809H
PT811H,0_18,PT810H
PT812H,0_19,PT811H
PT813H,0_20,PT812H
PT814H,0_21,PT813H
PT815H,0_22,PT814H
PT816H,0_23,PT815H
PT817H,0_0,PT816H
PT818H,0_1,PT817H
PT819H,0_2,PT818H
PT820H,0_3,PT819H
PT821H,0_4,PT820H
PT822H,0_5,PT821H
PT823H,0_6,PT822H
PT824H,0_7,PT823H
PT825H,0_8,PT824H
PT826H,0_9,PT825H
PT827H,0_10,PT826H
PT828H,0_11,PT827H
PT829H,0_12,PT828H
PT830H,0_13,PT829H
PT831H,0_14,PT830H
PT832H,0_15,PT831H
PT833H,0_16,PT832H
PT834H,0_17,PT833H
PT835H,0_18,PT834H
PT836H,0_19,PT835H
PT837H,0_20,PT836H
PT838H,0_21,PT837H
PT839H,0_22,PT838H
PT840H,0_23,PT839H
PT841H,0_0,PT840H
PT842H,0_1,PT841H
PT843H,0_2,PT842H
PT844H,0_3,PT843H
PT845H,0_4,PT844H
PT846H,0_5,PT845H
PT847H,0_6,PT846H
PT848H,0_7,PT847H
PT849H,0_8,PT848H
PT850H,0_9,PT849H
PT851H,0_10,PT850H
PT852H,0_11,PT851H
PT853H,0_12,PT852H
PT854H,0_13,PT853H
PT855H,0_14,PT854H
PT856H,0_15,PT855H
PT857H,0_16,PT856H
PT858H,0_17,PT857H
PT859H,0_18,PT858H
PT860H,0_19,PT859H
PT861H,0_20,PT860H
PT862H,0_21,PT861H
PT863H,0_22,PT862H
PT864H,0_23,PT863H
PT865H,0_0,PT864H
PT866H,0_1,PT865H
PT867H,0_2,PT866H
PT868H,0_3,PT867H
PT869H,0_4,PT868H
PT870H,0_5,PT869H
PT871H,0_6,PT870H
PT872H,0_7,PT871H
PT873H,0_8,PT872H
PT874H,0_9,PT873H
PT875H,0_10,PT874H
PT876H,0_11,PT875H
PT877H,0_12,PT876H
PT878H,0_13,PT877H
PT879H,0_14,PT878H
PT880H,0_15,PT879H
PT881H,0_16,PT880H
PT882H,0_17,PT881H
PT883H,0_18,PT882H
PT884H,0_19,PT883H
PT885H,0_20,PT884H
PT886H,0_21,PT885H
PT887H,0_22,PT886H
PT888H,0_23,PT887H
PT889H,0_0,PT888H
PT890H,0_1,PT889H
PT891H,0_2,PT890H
PT892H,0_3,PT891H
PT893H,0_4,PT892H
PT894H,0_5,PT893H
PT895H,0_6,PT894H
PT896H,0_7,PT895H
PT897H,0_8,PT896H
PT898H,0_9,PT897H
PT899H,0_10,PT898H
PT900H,0_11,PT899H
PT901H,0_12,PT900H
PT902H,0_13,PT901H
PT903H,0_14,PT902H
PT904H,0_15,PT903H
PT905H,0_16,PT904H
PT906H,0_17,PT905H
PT907H,0_18,PT906H
PT908H,0_19,PT907H
PT909H,0_20,PT908H
PT910H,0_21,PT909H
PT911H,0_22,PT910H
PT912H,0_23,PT911H
PT913H,0_0,PT912H
PT914H,0_1,PT913H
PT915H,0_2,PT914H
PT916H,0_3,PT915H
PT917H,0_4,PT916H
PT918H,0_5,PT917H
PT919H,0_6,PT918H
PT920H,0_7,PT919H
PT921H,0_8,PT920H
PT922H,0_9,PT921H
PT923H,0_10,PT922H
PT924H,0_11,PT923H
PT925H,0_12,PT924H
PT926H,0_13,PT925H
PT927H,0_14,PT926H
PT928H,0_15,PT927H
PT929H,0_16,PT928H
PT930H,0_17,PT929H
PT931H,0_18,PT930H
PT932H,0_19,PT931H
PT933H,0_20,PT932H
PT934H,0_21,PT933H
PT935H,0_22,PT934H
PT936H,0_23,PT935H
PT937H,0_0,PT936H
PT938H,0_1,PT937H
PT939H,0_2,PT938H
PT940H,0_3,PT939H
PT941H,0_4,PT940H
PT942H,0_5,PT941H
PT943H,0_6,PT942H
PT944H,0_7,PT943H
PT945H,0_8,PT944H
PT946H,0_9,PT945H
PT947H,0_10,PT946H
PT948H,0_11,PT947H
PT949H,0_12,PT948H
PT950H,0_13,PT949H
PT951H,0_14,PT950H
PT952H,0_15,PT951H
PT953H,0_16,PT952H
PT954H,0_17,PT953H
PT955H,0_18,PT954H
PT956H,0_19,PT955H
PT957H,0_20,PT956H
PT958H,0_21,PT957H
PT959H,0_22,PT958H
PT960H,0_23,PT959H
PT961H,0_0,PT960H
PT962H,0_1,PT961H
PT963H,0_2,PT962H
PT964H,0_3,PT963H
PT965H,0_4,PT964H
PT966H,0_5,PT965H
PT967H,0_6,PT966H
PT968H,0_7,PT967H
PT969H,0_8,PT968H
PT970H,0_9,PT969H
PT971H,0_10,PT970H
PT972H,0_11,PT971H
PT973H,0_12,PT972H
PT974H,0_13,PT973H
PT975H,0_14,PT974H
PT976H,0_15,PT975H
PT977H,0_16,PT976H
PT978H,0_17,PT977H
PT979H,0_18,PT978H
PT980H,0_19,PT979H
PT981H,0_20,PT980H
PT982H,0_21,PT981H
PT983H,0_22,PT982H
PT984H,0_23,PT983H
PT985H,0_0,PT984H
PT986H,0_1,PT985H
PT987H,0_2,PT986H
PT988H,0_3,PT987H
PT989H,0_4,PT988H
PT990H,0_5,PT989H
PT991H,0_6,PT990H
PT992H,0_7,PT991H
PT993H,0_8,PT992H
PT994H,0_9,PT993H
PT995H,0_10,PT994H
PT996H,0_11,PT995H
PT997H,0_12,PT996H
PT998H,0_13,PT997H
PT999H,0_14,PT998H
